Work Item ID,Issue Type,Summary,Description,Priority,Story Points,Epic Link,Parent,Labels
EP-1,Epic,Foundation & Infrastructure,"Core backend setup, database, and authentication system",Highest,26,,,foundation
ST-1,Story,Database Setup,Set up Supabase database and create all required tables,High,8,EP-1,,database
T-1,Sub-task,Set up Supabase project and database,"Create Supabase account, configure environment variables, test connection",High,2,EP-1,ST-1,setup
T-2,Sub-task,Create database tables using SQL migration,"Create all tables: users, experiences, bookings, reviews, etc.",High,4,EP-1,ST-1,database
T-3,Sub-task,Set up database constraints and indexes,"Add foreign keys, unique constraints, and performance indexes",High,1,EP-1,ST-1,database
T-4,Sub-task,Create Pydantic models for all entities,"Build data validation models for all entities",High,1,EP-1,ST-1,models
ST-2,Story,Authentication System,Implement user registration and role-based authentication with OAuth,High,13,EP-1,,auth
T-5,Sub-task,Set up Supabase Auth integration,"Configure Supabase auth settings and dependencies",High,2,EP-1,ST-2,auth
T-6,Sub-task,Create authentication middleware,"JWT validation, role-based access control",High,3,EP-1,ST-2,auth
T-7,Sub-task,Build auth endpoints,"Create register, login, logout, and profile endpoints",High,2,EP-1,ST-2,endpoints
T-8,Sub-task,Test authentication flow,"Unit and integration tests for auth",High,1,EP-1,ST-2,testing
T-9,Sub-task,Set up OAuth providers,"Configure Google, Facebook, Apple OAuth with secrets and client IDs",High,2,EP-1,ST-2,oauth
T-10,Sub-task,Implement OAuth authentication flow,"OAuth redirects, token exchange, profile extraction, account linking",High,2,EP-1,ST-2,oauth
T-11,Sub-task,Create OAuth endpoints,"OAuth authorize, callback, link, and unlink endpoints",High,1,EP-1,ST-2,oauth
T-12,Sub-task,Handle OAuth user registration,"Auto-create accounts, merge profiles, handle conflicts",High,1,EP-1,ST-2,oauth
T-13,Sub-task,Test OAuth integration,"OAuth flow tests, provider integration tests, error handling",High,1,EP-1,ST-2,oauth
ST-3,Story,Core Infrastructure,Error handling and development tooling setup,Medium,5,EP-1,,infrastructure
T-14,Sub-task,Set up error handling and logging,"Custom exceptions, logging, error responses",Medium,2,EP-1,ST-3,logging
T-15,Sub-task,Add input validation and sanitization,"Request schemas, validation rules, security",Medium,2,EP-1,ST-3,validation
T-16,Sub-task,Set up development tools,"Migrations, testing framework, linting",Medium,1,EP-1,ST-3,tools
